tau,gamma
352.7943133,8.21E-11
357.6147641,3.63E-11
362.5010797,1.58E-11
367.4541602,6.71E-12
372.4749176,2.80E-12
377.5642769,1.15E-12
382.7231753,4.62E-13
387.9525629,1.82E-13
393.253403,7.03E-14
398.6266718,2.67E-14
404.0733589,9.93E-15
409.5944675,3.62E-15
415.1910146,1.30E-15
420.8640307,4.56E-16
426.6145609,1.57E-16
432.4436642,5.30E-17
438.3524142,1.76E-17
444.3418991,5.72E-18
450.4132222,1.82E-18
456.5675016,5.70E-19
462.8058707,1.75E-19
469.1294786,5.27E-20
475.53949,1.56E-20
482.0370854,4.51E-21
488.6234615,1.28E-21
495.2998314,3.57E-22
502.0674248,9.76E-23
508.927488,2.62E-23
515.8812847,6.89E-24
522.9300954,1.78E-24
530.0752184,4.50E-25
537.3179698,1.12E-25
544.6596834,2.72E-26
552.1017115,6.50E-27
559.6454247,1.52E-27
567.2922124,3.50E-28
575.043483,7.90E-29
582.9006641,1.75E-29
590.8652028,3.79E-30
598.938566,8.08E-31
607.1222406,1.69E-31
615.4177339,3.45E-32
623.8265738,6.94E-33
632.3503089,1.37E-33
